================================================================================
SDV Synthetic Data Quality Report
================================================================================
Generated on: 2025-06-11 19:33:09
Real Data: flat-training.csv (100000 rows, 80 columns)
Synthetic Data: synthetic_data.csv (100000 rows, 80 columns)
================================================================================

1. Overall Quality Score
--------------------------------------------------
Score: 84.88% (Higher is better)
Description: Aggregated score of column shapes and pair trends.

2. Column Shapes (Distribution Similarity)
--------------------------------------------------
Evaluates how well synthetic data matches the distribution of individual columns.

Column                         Metric               Score     
duck                           clover                         75.46%    
duck                           bubble                         79.43%    
duck                           cookie                         73.59%    
chicken                        sparrow                        80.99%    
chicken                        parrot                         85.41%    
chicken                        finch                          82.08%    
chicken                        canary                         99.25%    
chicken                        bee                            78.23%    
chicken                        butterfly                      78.29%    
chicken                        ladybug                        96.87%    
chicken                        snail                          78.05%    
chicken                        frog                           82.54%    
chicken                        cricket                        69.21%    
chicken                        tamarin                        61.19%    
chicken                        wallaby                        79.43%    
chicken                        wombat                         90.19%    
chicken                        zebra                          80.65%    
chicken                        flamingo                       98.04%    
chicken                        peacock                        82.44%    
chicken                        bat                            81.16%    
chicken                        fox                            81.30%    
chicken                        beaver                         98.65%    
chicken                        monkey                         58.50%    
chicken                        seal                           99.68%    
chicken                        robin                          82.03%    
chicken                        loon                           96.47%    
chicken                        swan                           78.96%    
chicken                        goldfish                       83.37%    
chicken                        minnow                         82.19%    
chicken                        mole                           80.48%    
chicken                        shrew                          94.95%    
chicken                        puffin                         99.74%    
chicken                        owl                            81.86%    
chicken                        bunny                          73.21%    
chicken                        bear                           96.55%    
chicken                        chipmunk                       74.80%    
chicken                        cub                            96.48%    
chicken                        acorn                          82.20%    
chicken                        leaf                           75.69%    
chicken                        cloud                          99.28%    
chicken                        rainbow                        96.32%    
chicken                        puddle                         81.87%    
chicken                        berry                          59.52%    
chicken                        apple                          89.70%    
chicken                        honey                          74.78%    
chicken                        pumpkin                        99.83%    
chicken                        teddy                          78.93%    
chicken                        blanket                        73.91%    
chicken                        button                         99.30%    
chicken                        whistle                        99.44%    
chicken                        marble                         79.45%    
chicken                        wagon                          95.67%    
chicken                        storybook                      99.54%    
chicken                        candle                         52.62%    
chicken                        clover                         96.10%    
chicken                        bubble                         76.12%    
chicken                        cookie                         67.59%    
sparrow                        parrot                         91.48%    
sparrow                        finch                          95.69%    
sparrow                        canary                         92.80%    
sparrow                        bee                            83.19%    
sparrow                        butterfly                      88.19%    
sparrow                        ladybug                        91.71%    
sparrow                        snail                          83.78%    
sparrow                        frog                           88.30%    
sparrow                        cricket                        74.71%    
sparrow                        tamarin                        79.51%    
sparrow                        wallaby                        89.46%    
sparrow                        wombat                         88.65%    
sparrow                        zebra                          90.21%    
sparrow                        flamingo                       86.97%    
sparrow                        peacock                        95.57%    
sparrow                        bat                            93.76%    
sparrow                        fox                            95.47%    
sparrow                        beaver                         90.11%    
sparrow                        monkey                         88.81%    
sparrow                        seal                           87.17%    
sparrow                        robin                          95.35%    
sparrow                        loon                           44.04%    
sparrow                        swan                           91.19%    
sparrow                        goldfish                       88.43%    
sparrow                        minnow                         95.80%    
sparrow                        mole                           89.61%    
sparrow                        shrew                          87.75%    
sparrow                        puffin                         88.86%    
sparrow                        owl                            95.58%    
sparrow                        bunny                          74.67%    
sparrow                        bear                           81.27%    
sparrow                        chipmunk                       83.65%    
sparrow                        cub                            78.77%    
sparrow                        acorn                          85.43%    
sparrow                        leaf                           83.20%    
sparrow                        cloud                          14.59%    
sparrow                        rainbow                        89.10%    
sparrow                        puddle                         95.31%    
sparrow                        berry                          75.44%    
sparrow                        apple                          89.38%    
sparrow                        honey                          71.58%    
sparrow                        pumpkin                        84.55%    
sparrow                        teddy                          90.46%    
sparrow                        blanket                        84.86%    
sparrow                        button                         88.23%    
sparrow                        whistle                        89.03%    
sparrow                        marble                         90.76%    
sparrow                        wagon                          80.10%    
sparrow                        storybook                      91.48%    
sparrow                        candle                         83.46%    
sparrow                        clover                         84.08%    
sparrow                        bubble                         83.09%    
sparrow                        cookie                         82.27%    
parrot                         finch                          91.65%    
parrot                         canary                         94.51%    
parrot                         bee                            75.16%    
parrot                         butterfly                      86.10%    
parrot                         ladybug                        97.70%    
parrot                         snail                          66.91%    
parrot                         frog                           79.52%    
parrot                         cricket                        74.89%    
parrot                         tamarin                        71.64%    
parrot                         wallaby                        87.93%    
parrot                         wombat                         98.33%    
parrot                         zebra                          88.75%    
parrot                         flamingo                       96.55%    
parrot                         peacock                        92.04%    
parrot                         bat                            91.78%    
parrot                         fox                            89.57%    
parrot                         beaver                         99.42%    
parrot                         monkey                         77.98%    
parrot                         seal                           99.50%    
parrot                         robin                          91.88%    
parrot                         loon                           97.37%    
parrot                         swan                           88.98%    
parrot                         goldfish                       72.66%    
parrot                         minnow                         91.91%    
parrot                         mole                           88.74%    
parrot                         shrew                          96.38%    
parrot                         puffin                         95.10%    
parrot                         owl                            91.75%    
parrot                         bunny                          77.85%    
parrot                         bear                           98.19%    
parrot                         chipmunk                       82.12%    
parrot                         cub                            97.22%    
parrot                         acorn                          66.74%    
parrot                         leaf                           83.56%    
parrot                         cloud                          99.44%    
parrot                         rainbow                        95.21%    
parrot                         puddle                         91.82%    
parrot                         berry                          90.21%    
parrot                         apple                          74.50%    
parrot                         honey                          81.86%    
parrot                         pumpkin                        99.92%    
parrot                         teddy                          86.82%    
parrot                         blanket                        56.74%    
parrot                         button                         99.18%    
parrot                         whistle                        99.81%    
parrot                         marble                         90.43%    
parrot                         wagon                          95.83%    
parrot                         storybook                      99.94%    
parrot                         candle                         75.12%    
parrot                         clover                         95.86%    
parrot                         bubble                         83.35%    
parrot                         cookie                         56.65%    
finch                          canary                         96.28%    
finch                          bee                            83.76%    
finch                          butterfly                      89.43%    
finch                          ladybug                        93.79%    
finch                          snail                          83.91%    
finch                          frog                           90.35%    
finch                          cricket                        75.41%    
finch                          tamarin                        80.06%    
finch                          wallaby                        90.59%    
finch                          wombat                         90.47%    
finch                          zebra                          91.44%    
finch                          flamingo                       88.00%    
finch                          peacock                        98.49%    
finch                          bat                            97.63%    
finch                          fox                            96.44%    
finch                          beaver                         90.99%    
finch                          monkey                         91.25%    
finch                          seal                           86.59%    
finch                          robin                          98.43%    
finch                          loon                           45.22%    
finch                          swan                           91.87%    
finch                          goldfish                       89.71%    
finch                          minnow                         99.01%    
finch                          mole                           92.81%    
finch                          shrew                          90.95%    
finch                          puffin                         98.60%    
finch                          owl                            98.41%    
finch                          bunny                          79.64%    
finch                          bear                           82.68%    
finch                          chipmunk                       85.19%    
finch                          cub                            79.59%    
finch                          acorn                          87.63%    
finch                          leaf                           86.21%    
finch                          cloud                          14.40%    
finch                          rainbow                        92.42%    
finch                          puddle                         98.79%    
finch                          berry                          76.36%    
finch                          apple                          89.37%    
finch                          honey                          82.67%    
finch                          pumpkin                        86.80%    
finch                          teddy                          92.04%    
finch                          blanket                        85.56%    
finch                          button                         90.61%    
finch                          whistle                        89.26%    
finch                          marble                         94.10%    
finch                          wagon                          83.90%    
finch                          storybook                      93.12%    
finch                          candle                         82.97%    
finch                          clover                         84.07%    
finch                          bubble                         84.18%    
finch                          cookie                         83.20%    
canary                         bee                            99.18%    
canary                         butterfly                      88.32%    
canary                         ladybug                        99.60%    
canary                         snail                          97.18%    
canary                         frog                           95.65%    
canary                         cricket                        75.17%    
canary                         tamarin                        78.60%    
canary                         wallaby                        89.74%    
canary                         wombat                         91.36%    
canary                         zebra                          89.79%    
canary                         flamingo                       99.40%    
canary                         peacock                        96.38%    
canary                         bat                            94.44%    
canary                         fox                            83.77%    
canary                         beaver                         99.36%    
canary                         monkey                         88.07%    
canary                         seal                           98.19%    
canary                         robin                          96.27%    
canary                         loon                           98.09%    
canary                         swan                           91.78%    
canary                         goldfish                       97.32%    
canary                         minnow                         96.36%    
canary                         mole                           90.52%    
canary                         shrew                          99.06%    
canary                         puffin                         96.88%    
canary                         owl                            96.08%    
canary                         bunny                          75.08%    
canary                         bear                           99.53%    
canary                         chipmunk                       83.65%    
canary                         cub                            99.04%    
canary                         acorn                          97.89%    
canary                         leaf                           84.27%    
canary                         cloud                          99.34%    
canary                         rainbow                        95.79%    
canary                         puddle                         96.07%    
canary                         berry                          97.91%    
canary                         apple                          96.17%    
canary                         honey                          82.50%    
canary                         pumpkin                        99.75%    
canary                         teddy                          89.89%    
canary                         blanket                        83.92%    
canary                         button                         99.90%    
canary                         whistle                        98.29%    
canary                         marble                         91.63%    
canary                         wagon                          97.07%    
canary                         storybook                      99.91%    
canary                         candle                         82.87%    
canary                         clover                         96.19%    
canary                         bubble                         83.43%    
canary                         cookie                         80.99%    
bee                            butterfly                      79.99%    
bee                            ladybug                        90.08%    
bee                            snail                          61.21%    
bee                            frog                           72.70%    
bee                            cricket                        72.00%    
bee                            tamarin                        51.79%    
bee                            wallaby                        81.51%    
bee                            wombat                         82.10%    
bee                            zebra                          82.29%    
bee                            flamingo                       95.74%    
bee                            peacock                        84.05%    
bee                            bat                            83.72%    
bee                            fox                            82.36%    
bee                            beaver                         99.46%    
bee                            monkey                         59.15%    
bee                            seal                           99.59%    
bee                            robin                          83.71%    
bee                            loon                           99.05%    
bee                            swan                           81.69%    
bee                            goldfish                       71.19%    
bee                            minnow                         83.89%    
bee                            mole                           82.63%    
bee                            shrew                          94.49%    
bee                            puffin                         99.08%    
bee                            owl                            83.95%    
bee                            bunny                          75.22%    
bee                            bear                           95.41%    
bee                            chipmunk                       78.23%    
bee                            cub                            98.61%    
bee                            acorn                          71.02%    
bee                            leaf                           78.76%    
bee                            cloud                          99.74%    
bee                            rainbow                        96.84%    
bee                            puddle                         84.03%    
bee                            berry                          81.25%    
bee                            apple                          97.08%    
bee                            honey                          76.98%    
bee                            pumpkin                        99.82%    
bee                            teddy                          81.22%    
bee                            blanket                        67.97%    
bee                            button                         99.85%    
bee                            whistle                        98.82%    
bee                            marble                         82.16%    
bee                            wagon                          99.77%    
bee                            storybook                      99.96%    
bee                            candle                         67.31%    
bee                            clover                         96.73%    
bee                            bubble                         78.58%    
bee                            cookie                         36.29%    
butterfly                      ladybug                        87.42%    
butterfly                      snail                          80.34%    
butterfly                      frog                           84.96%    
butterfly                      cricket                        74.56%    
butterfly                      tamarin                        78.62%    
butterfly                      wallaby                        85.30%    
butterfly                      wombat                         84.94%    
butterfly                      zebra                          87.28%    
butterfly                      flamingo                       84.09%    
butterfly                      peacock                        89.24%    
butterfly                      bat                            89.06%    
butterfly                      fox                            88.46%    
butterfly                      beaver                         86.27%    
butterfly                      monkey                         86.46%    
butterfly                      seal                           84.00%    
butterfly                      robin                          89.40%    
butterfly                      loon                           43.73%    
butterfly                      swan                           86.39%    
butterfly                      goldfish                       85.14%    
butterfly                      minnow                         89.53%    
butterfly                      mole                           86.99%    
butterfly                      shrew                          85.47%    
butterfly                      puffin                         88.71%    
butterfly                      owl                            89.87%    
butterfly                      bunny                          78.12%    
butterfly                      bear                           80.36%    
butterfly                      chipmunk                       80.63%    
butterfly                      cub                            76.80%    
butterfly                      acorn                          82.53%    
butterfly                      leaf                           83.36%    
butterfly                      cloud                          13.77%    
butterfly                      rainbow                        86.09%    
butterfly                      puddle                         89.64%    
butterfly                      berry                          74.50%    
butterfly                      apple                          84.49%    
butterfly                      honey                          80.54%    
butterfly                      pumpkin                        82.37%    
butterfly                      teddy                          52.96%    
butterfly                      blanket                        82.00%    
butterfly                      button                         84.78%    
butterfly                      whistle                        81.49%    
butterfly                      marble                         87.31%    
butterfly                      wagon                          80.44%    
butterfly                      storybook                      86.58%    
butterfly                      candle                         80.60%    
butterfly                      clover                         80.68%    
butterfly                      bubble                         82.42%    
butterfly                      cookie                         78.23%    
ladybug                        snail                          93.81%    
ladybug                        frog                           95.53%    
ladybug                        cricket                        74.90%    
ladybug                        tamarin                        78.10%    
ladybug                        wallaby                        89.56%    
ladybug                        wombat                         91.58%    
ladybug                        zebra                          90.89%    
ladybug                        flamingo                       89.26%    
ladybug                        peacock                        93.95%    
ladybug                        bat                            92.30%    
ladybug                        fox                            92.96%    
ladybug                        beaver                         97.82%    
ladybug                        monkey                         87.39%    
ladybug                        seal                           99.22%    
ladybug                        robin                          93.62%    
ladybug                        loon                           98.70%    
ladybug                        swan                           90.11%    
ladybug                        goldfish                       96.29%    
ladybug                        minnow                         93.81%    
ladybug                        mole                           89.63%    
ladybug                        shrew                          87.13%    
ladybug                        puffin                         99.83%    
ladybug                        owl                            88.61%    
ladybug                        bunny                          79.33%    
ladybug                        bear                           96.10%    
ladybug                        chipmunk                       83.16%    
ladybug                        cub                            95.35%    
ladybug                        acorn                          92.89%    
ladybug                        leaf                           84.31%    
ladybug                        cloud                          98.91%    
ladybug                        rainbow                        89.92%    
ladybug                        puddle                         93.43%    
ladybug                        berry                          96.80%    
ladybug                        apple                          98.96%    
ladybug                        honey                          82.28%    
ladybug                        pumpkin                        99.48%    
ladybug                        teddy                          88.83%    
ladybug                        blanket                        84.10%    
ladybug                        button                         99.48%    
ladybug                        whistle                        99.07%    
ladybug                        marble                         89.70%    
ladybug                        wagon                          92.61%    
ladybug                        storybook                      99.66%    
ladybug                        candle                         82.38%    
ladybug                        clover                         92.12%    
ladybug                        bubble                         84.18%    
ladybug                        cookie                         79.57%    
snail                          frog                           60.98%    
snail                          cricket                        72.30%    
snail                          tamarin                        65.44%    
snail                          wallaby                        82.77%    
snail                          wombat                         92.20%    
snail                          zebra                          83.05%    
snail                          flamingo                       95.79%    
snail                          peacock                        83.90%    
snail                          bat                            83.42%    
snail                          fox                            82.95%    
snail                          beaver                         98.54%    
snail                          monkey                         68.78%    
snail                          seal                           99.55%    
snail                          robin                          83.83%    
snail                          loon                           96.90%    
snail                          swan                           83.32%    
snail                          goldfish                       64.15%    
snail                          minnow                         83.79%    
snail                          mole                           81.60%    
snail                          shrew                          95.49%    
snail                          puffin                         97.24%    
snail                          owl                            84.08%    
snail                          bunny                          71.75%    
snail                          bear                           96.77%    
snail                          chipmunk                       78.18%    
snail                          cub                            97.52%    
snail                          acorn                          64.91%    
snail                          leaf                           79.91%    
snail                          cloud                          99.03%    
snail                          rainbow                        99.06%    
snail                          puddle                         83.90%    
snail                          berry                          81.78%    
snail                          apple                          90.78%    
snail                          honey                          75.03%    
snail                          pumpkin                        99.96%    
snail                          teddy                          81.04%    
snail                          blanket                        55.06%    
snail                          button                         99.67%    
snail                          whistle                        99.18%    
snail                          marble                         83.05%    
snail                          wagon                          97.73%    
snail                          storybook                      99.95%    
snail                          candle                         69.08%    
snail                          clover                         96.02%    
snail                          bubble                         78.86%    
snail                          cookie                         43.55%    
frog                           cricket                        74.60%    
frog                           tamarin                        67.26%    
frog                           wallaby                        87.78%    
frog                           wombat                         92.36%    
frog                           zebra                          87.22%    
frog                           flamingo                       98.35%    
frog                           peacock                        90.66%    
frog                           bat                            90.38%    
frog                           fox                            87.08%    
frog                           beaver                         97.61%    
frog                           monkey                         74.35%    
frog                           seal                           99.54%    
frog                           robin                          89.63%    
frog                           loon                           97.30%    
frog                           swan                           84.84%    
frog                           goldfish                       66.37%    
frog                           minnow                         90.53%    
frog                           mole                           89.71%    
frog                           shrew                          96.89%    
frog                           puffin                         95.69%    
frog                           owl                            90.75%    
frog                           bunny                          73.94%    
frog                           bear                           97.87%    
frog                           chipmunk                       82.86%    
frog                           cub                            98.23%    
frog                           acorn                          71.85%    
frog                           leaf                           84.69%    
frog                           cloud                          99.92%    
frog                           rainbow                        96.77%    
frog                           puddle                         90.36%    
frog                           berry                          82.67%    
frog                           apple                          96.67%    
frog                           honey                          76.83%    
frog                           pumpkin                        99.49%    
frog                           teddy                          85.57%    
frog                           blanket                        56.83%    
frog                           button                         99.41%    
frog                           whistle                        99.53%    
frog                           marble                         88.92%    
frog                           wagon                          97.63%    
frog                           storybook                      99.33%    
frog                           candle                         73.14%    
frog                           clover                         95.96%    
frog                           bubble                         81.36%    
frog                           cookie                         51.21%    
cricket                        tamarin                        73.29%    
cricket                        wallaby                        74.54%    
cricket                        wombat                         74.70%    
cricket                        zebra                          75.23%    
cricket                        flamingo                       73.82%    
cricket                        peacock                        75.64%    
cricket                        bat                            75.04%    
cricket                        fox                            75.51%    
cricket                        beaver                         68.08%    
cricket                        monkey                         75.34%    
cricket                        seal                           74.75%    
cricket                        robin                          75.62%    
cricket                        loon                           41.75%    
cricket                        swan                           74.89%    
cricket                        goldfish                       74.95%    
cricket                        minnow                         75.30%    
cricket                        mole                           74.46%    
cricket                        shrew                          72.83%    
cricket                        puffin                         75.57%    
cricket                        owl                            75.65%    
cricket                        bunny                          72.51%    
cricket                        bear                           74.05%    
cricket                        chipmunk                       72.50%    
cricket                        cub                            70.77%    
cricket                        acorn                          72.88%    
cricket                        leaf                           72.45%    
cricket                        cloud                          13.61%    
cricket                        rainbow                        74.64%    
cricket                        puddle                         75.28%    
cricket                        berry                          68.80%    
cricket                        apple                          74.67%    
cricket                        honey                          72.77%    
cricket                        pumpkin                        72.86%    
cricket                        teddy                          74.66%    
cricket                        blanket                        74.29%    
cricket                        button                         75.24%    
cricket                        whistle                        75.22%    
cricket                        marble                         73.82%    
cricket                        wagon                          72.55%    
cricket                        storybook                      74.77%    
cricket                        candle                         74.63%    
cricket                        clover                         73.26%    
cricket                        bubble                         74.93%    
cricket                        cookie                         72.22%    
tamarin                        wallaby                        79.40%    
tamarin                        wombat                         62.84%    
tamarin                        zebra                          80.14%    
tamarin                        flamingo                       78.27%    
tamarin                        peacock                        79.95%    
tamarin                        bat                            79.32%    
tamarin                        fox                            79.08%    
tamarin                        beaver                         78.50%    
tamarin                        monkey                         43.68%    
tamarin                        seal                           77.39%    
tamarin                        robin                          79.89%    
tamarin                        loon                           40.50%    
tamarin                        swan                           78.76%    
tamarin                        goldfish                       69.83%    
tamarin                        minnow                         79.96%    
tamarin                        mole                           79.62%    
tamarin                        shrew                          79.00%    
tamarin                        puffin                         78.17%    
tamarin                        owl                            79.72%    
tamarin                        bunny                          73.68%    
tamarin                        bear                           76.94%    
tamarin                        chipmunk                       78.11%    
tamarin                        cub                            69.67%    
tamarin                        acorn                          59.78%    
tamarin                        leaf                           78.90%    
tamarin                        cloud                          12.01%    
tamarin                        rainbow                        78.75%    
tamarin                        puddle                         79.83%    
tamarin                        berry                          56.43%    
tamarin                        apple                          74.58%    
tamarin                        honey                          72.88%    
tamarin                        pumpkin                        75.88%    
tamarin                        teddy                          78.44%    
tamarin                        blanket                        70.43%    
tamarin                        button                         79.16%    
tamarin                        whistle                        78.54%    
tamarin                        marble                         79.36%    
tamarin                        wagon                          76.04%    
tamarin                        storybook                      79.19%    
tamarin                        candle                         52.74%    
tamarin                        clover                         75.40%    
tamarin                        bubble                         77.62%    
tamarin                        cookie                         60.71%    
wallaby                        wombat                         87.67%    
wallaby                        zebra                          88.77%    
wallaby                        flamingo                       82.33%    
wallaby                        peacock                        90.97%    
wallaby                        bat                            89.67%    
wallaby                        fox                            90.95%    
wallaby                        beaver                         88.10%    
wallaby                        monkey                         86.27%    
wallaby                        seal                           86.66%    
wallaby                        robin                          90.53%    
wallaby                        loon                           39.52%    
wallaby                        swan                           87.55%    
wallaby                        goldfish                       87.14%    
wallaby                        minnow                         91.31%    
wallaby                        mole                           86.32%    
wallaby                        shrew                          85.24%    
wallaby                        puffin                         90.95%    
wallaby                        owl                            90.54%    
wallaby                        bunny                          79.62%    
wallaby                        bear                           72.56%    
wallaby                        chipmunk                       78.51%    
wallaby                        cub                            69.46%    
wallaby                        acorn                          84.18%    
wallaby                        leaf                           83.08%    
