================================================================================
SDV Synthetic Data Quality Report
================================================================================
Generated on: 2025-06-11 19:33:09
Real Data: flat-training.csv (100000 rows, 80 columns)
Synthetic Data: synthetic_data.csv (100000 rows, 80 columns)
================================================================================

1. Overall Quality Score
--------------------------------------------------
Score: 84.88% (Higher is better)
Description: Aggregated score of column shapes and pair trends.

2. Column Shapes (Distribution Similarity)
--------------------------------------------------
Evaluates how well synthetic data matches the distribution of individual columns.

Column                         Metric               Score     
deer                           pony                           92.85%    
deer                           llama                          94.14%    
deer                           mouse                          96.44%    
deer                           hamster                        83.63%    
deer                           guinea                         99.12%    
deer                           duck                           78.12%    
deer                           chicken                        97.85%    
deer                           sparrow                        90.80%    
deer                           parrot                         93.62%    
deer                           finch                          93.72%    
deer                           canary                         95.46%    
deer                           bee                            97.91%    
deer                           butterfly                      86.92%    
deer                           ladybug                        90.23%    
deer                           snail                          97.67%    
deer                           frog                           97.47%    
deer                           cricket                        75.65%    
deer                           tamarin                        79.71%    
deer                           wallaby                        86.62%    
deer                           wombat                         96.32%    
deer                           zebra                          89.60%    
deer                           flamingo                       93.81%    
deer                           peacock                        93.88%    
deer                           bat                            92.46%    
deer                           fox                            91.45%    
deer                           beaver                         99.42%    
deer                           monkey                         87.66%    
deer                           seal                           99.64%    
deer                           robin                          93.80%    
deer                           loon                           95.88%    
deer                           swan                           86.80%    
deer                           goldfish                       96.55%    
deer                           minnow                         93.63%    
deer                           mole                           89.76%    
deer                           shrew                          90.45%    
deer                           puffin                         96.48%    
deer                           owl                            92.86%    
deer                           bunny                          79.84%    
deer                           bear                           94.90%    
deer                           chipmunk                       80.79%    
deer                           cub                            97.53%    
deer                           acorn                          97.32%    
deer                           leaf                           84.13%    
deer                           cloud                          99.12%    
deer                           rainbow                        85.95%    
deer                           puddle                         93.67%    
deer                           berry                          98.95%    
deer                           apple                          96.66%    
deer                           honey                          82.70%    
deer                           pumpkin                        99.32%    
deer                           teddy                          88.05%    
deer                           blanket                        84.63%    
deer                           button                         99.42%    
deer                           whistle                        98.84%    
deer                           marble                         87.50%    
deer                           wagon                          98.68%    
deer                           storybook                      99.96%    
deer                           candle                         82.43%    
deer                           clover                         93.18%    
deer                           bubble                         84.09%    
deer                           cookie                         81.12%    
panda                          koala                          78.01%    
panda                          otter                          80.55%    
panda                          hedgehog                       99.87%    
panda                          squirrel                       78.70%    
panda                          dolphin                        83.05%    
panda                          penguin                        82.89%    
panda                          turtle                         98.92%    
panda                          elephant                       99.86%    
panda                          giraffe                        83.28%    
panda                          lamb                           82.04%    
panda                          goat                           82.75%    
panda                          cow                            98.96%    
panda                          horse                          98.68%    
panda                          donkey                         80.70%    
panda                          pony                           83.35%    
panda                          llama                          83.23%    
panda                          mouse                          99.54%    
panda                          hamster                        65.44%    
panda                          guinea                         99.55%    
panda                          duck                           79.43%    
panda                          chicken                        98.09%    
panda                          sparrow                        82.75%    
panda                          parrot                         99.61%    
panda                          finch                          82.86%    
panda                          canary                         99.32%    
panda                          bee                            99.57%    
panda                          butterfly                      81.17%    
panda                          ladybug                        99.13%    
panda                          snail                          98.98%    
panda                          frog                           98.40%    
panda                          cricket                        70.02%    
panda                          tamarin                        77.62%    
panda                          wallaby                        82.35%    
panda                          wombat                         99.08%    
panda                          zebra                          83.10%    
panda                          flamingo                       98.66%    
panda                          peacock                        83.09%    
panda                          bat                            82.52%    
panda                          fox                            82.88%    
panda                          beaver                         72.54%    
panda                          monkey                         82.35%    
panda                          seal                           99.43%    
panda                          robin                          82.84%    
panda                          loon                           98.75%    
panda                          swan                           82.32%    
panda                          goldfish                       99.40%    
panda                          minnow                         83.34%    
panda                          mole                           82.59%    
panda                          shrew                          99.08%    
panda                          puffin                         99.94%    
panda                          owl                            82.81%    
panda                          bunny                          77.17%    
panda                          bear                           99.51%    
panda                          chipmunk                       79.17%    
panda                          cub                            99.26%    
panda                          acorn                          99.26%    
panda                          leaf                           80.34%    
panda                          cloud                          99.74%    
panda                          rainbow                        99.88%    
panda                          puddle                         83.61%    
panda                          berry                          97.87%    
panda                          apple                          99.92%    
panda                          honey                          77.11%    
panda                          pumpkin                        99.44%    
panda                          teddy                          81.97%    
panda                          blanket                        80.34%    
panda                          button                         99.67%    
panda                          whistle                        99.11%    
panda                          marble                         81.92%    
panda                          wagon                          99.85%    
panda                          storybook                      99.53%    
panda                          candle                         78.21%    
